post_id,title,url,valid_dcv5,fallback,fallback_dcv5_view,hero,quick_strip,work_summary,sidecard,bad_fish_text,bad_cheese_text,bad_qmarks,bad_internal,result
2450,"Bayonneskinke (Danska zasoljena i dimljena šunka)",https://drycured.com/recepti-baza/bayonneskinke-danska-zasoljena-i-dimljena-sunka/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2456,"Spegeskinke (Danska sušena šunka)",https://drycured.com/recepti-baza/spegeskinke-danska-susena-sunka/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2458,"Crubeens (Salamurena i dimljena svinjska stopala)",https://drycured.com/recepti-baza/crubeens-salamurena-i-dimljena-svinjska-stopala/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2464,"StarohrvatskiMore-Kopno Salamet (Salama Maritima)",https://drycured.com/recepti-baza/starohrvatskimore-kopno-salamet-salama-maritima/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2465,"Krčki Ovčji Dimljeni Raritet",https://drycured.com/recepti-baza/krcki-ovcji-dimljeni-raritet/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2466,"Kvarnerski Divovski Salamet",https://drycured.com/recepti-baza/kvarnerski-divovski-salamet/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2468,"Lincolnshire kobasica",https://drycured.com/recepti-baza/lincolnshire-kobasica/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2470,"Bath Chaps (ukiseljene svinjske obrazine)",https://drycured.com/recepti-baza/bath-chaps-ukiseljene-svinjske-obrazine/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2474,"Tradicionalna engleska šunka (Wiltshire Ham)",https://drycured.com/recepti-baza/tradicionalna-engleska-sunka-wiltshire-ham/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2476,"Engleski pork pie (svinjetina u tijestu)",https://drycured.com/recepti-baza/engleski-pork-pie-svinjetina-u-tijestu/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2478,"Suitsink (Dimljena svinjska šunka)",https://drycured.com/recepti-baza/suitsink-dimljena-svinjska-sunka/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2480,"Talleliha (Polutrajno sušena govedina)",https://drycured.com/recepti-baza/talleliha-polutrajno-susena-govedina/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
2481,"Sealiha õlis (Svinjsko meso u ulju)",https://drycured.com/recepti-baza/sealiha-olis-svinjsko-meso-u-ulju/,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,OK_FALLBACK_DCV5_LIKE
