post_id,title,url,code,country,category,process,tech_group,readiness,source_chars,has_10kg,has_sastojci,has_postupak,has_granulation_or_cut,has_casing,has_pac_salt,has_drying_smoking_maturation,has_garlic,has_errors_solutions,has_storage_serving
2059,"SALAME MILANO - MILANSKA SALAMA",https://drycured.com/recepti-baza/salame-milano-milanska-salama/,MD-SALAME_MILANO_MILANSKA_SALAMA,Italija,"suha salama",,SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,4400,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2060,"SOPPRESSATA CALABRESE - KALABRIJSKA SOPPRESSATA",https://drycured.com/recepti-baza/soppressata-calabrese-kalabrijska-soppressata/,MD-SOPPRESSATA_CALABRESE_KALABRIJSKA_SOPPRESSATA,Hrvatska,"suhomesnati proizvod","sušenje + zrenje",SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,4071,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2061,"PROSCIUTTO DI PARMA - PARMSKA ŠUNKA",https://drycured.com/recepti-baza/prosciutto-di-parma-parmska-sunka/,MD-PROSCIUTTO_DI_PARMA_PARMSKA_SUNKA,Italija,"sušeni zreli sir","soljenje + dugo zrenje",HAM_PROSCIUTTO,AUTO_DCV5_CANDIDATE_WHOLE_CUT,3344,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2062,"PANCETTA ARROTOLATA - ROLANA PANCETA",https://drycured.com/recepti-baza/pancetta-arrotolata-rolana-panceta/,MD-PANCETTA_ARROTOLATA_ROLANA_PANCETA,Hrvatska,"Sušeni dimljeni cijeli komad",,BACON_FAT,AUTO_DCV5_CANDIDATE_WHOLE_CUT,3816,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2063,"FINOCCHIONA TOSCANA - TOSKANSKA KOBASICA S KOMORAČEM",https://drycured.com/recepti-baza/finocchiona-toscana-toskanska-kobasica-s-komoracem/,MD-FINOCCHIONA_TOSCANA_TOSKANSKA_KOBASICA_S_KOMORACEM,Italija,"suha salama","mljevenje + punjenje + fermentacija/zrenje",SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,4344,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2072,"Njeguški pršut",https://drycured.com/recepti-baza/njeguski-prsut/,MD-NJEGUSKI_PRSUT,"Crna Gora","Pršut | sušena šunka",sušenje,HAM_PROSCIUTTO,AUTO_DCV5_CANDIDATE_WHOLE_CUT,3257,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2075,"Vrgorački kulen iz zaboravljenih recepata",https://drycured.com/recepti-baza/vrgoracki-kulen-iz-zaboravljenih-recepata/,MD-VRGORACKI_KULEN_IZ_ZABORAVLJENIH_RECEPATA,Hrvatska,"Kulen | trajna fermentirana kobasica","dimljenje + zrenje",SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,3995,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2076,"Senjska Morska Panceta ""Bura Intenzitet""",https://drycured.com/recepti-baza/senjska-morska-panceta-bura-intenzitet/,MD-SENJSKA_MORSKA_PANCETA_BURA_INTENZITET,Hrvatska,"Sušeni dimljeni cijeli komad",sušenje,BACON_FAT,AUTO_DCV5_CANDIDATE_WHOLE_CUT,3370,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2078,"ANDOUILLE DE VIRE",https://drycured.com/recepti-baza/andouille-de-vire/,MD-ANDOUILLE_DE_VIRE,Hrvatska,"Suha kobasica","dimljenje + sušenje + zrenje",SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,4161,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2079,"COPPA CORSE",https://drycured.com/recepti-baza/coppa-corse/,MD-COPPA_CORSE,Italija,"suhomesnati proizvod","sušenje + zrenje",WHOLE_CUT,AUTO_DCV5_CANDIDATE_WHOLE_CUT,3900,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2080,"SAUCISSE DE MORTEAU",https://drycured.com/recepti-baza/saucisse-de-morteau/,MD-SAUCISSE_DE_MORTEAU,Francuska,"Suha kobasica","grubo sjeckanje + prirodno crijevo + dimljenje",SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,4163,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2086,"Prekomurska Slaninska Rolada ""Trnčova""",https://drycured.com/recepti-baza/prekomurska-slaninska-rolada-trncova/,MD-PREKOMURSKA_SLANINSKA_ROLADA_TRNCOVA,Hrvatska,"Sušeni dimljeni cijeli komad","Dimljeno | Sušeno | Zrelo",OTHER_MEAT_REVIEW,NEEDS_GROUP_REVIEW,3340,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2088,"Koprivnička Kulen",https://drycured.com/recepti-baza/koprivnicka-kulen/,MD-KOPRIVNICKA_KULEN,Hrvatska,"Kulen | trajna fermentirana kobasica","Dimljeno | Sušeno",SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,3955,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2089,"KABANOSY (TANKE SUHE KOBASICE)",https://drycured.com/recepti-baza/kabanosy-tanke-suhe-kobasice/,MD-KABANOSY_TANKE_SUHE_KOBASICE,Poljska,"Suha kobasica","dimljenje + sušenje",SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,4151,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2092,"Crikvenička Panceta",https://drycured.com/recepti-baza/crikvenicka-panceta/,MD-CRIKVENICKA_PANCETA,Hrvatska,"Sušeni dimljeni cijeli komad",sušenje,BACON_FAT,AUTO_DCV5_CANDIDATE_WHOLE_CUT,3249,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2093,"Stara Koprivnička Salama ""Šokačka Priča""",https://drycured.com/recepti-baza/stara-koprivnicka-salama-sokacka-prica/,MD-STARA_KOPRIVNICKA_SALAMA_SOKACKA_PRICA,Hrvatska,"suha salama",Sušeno,SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,4115,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2094,"Pitomački ""Divlji Kulen""",https://drycured.com/recepti-baza/pitomacki-divlji-kulen/,MD-PITOMACKI_DIVLJI_KULEN,Hrvatska,"Kulen | trajna fermentirana kobasica","Dimljeno | Sušeno",SAUSAGE_SALAMI,AUTO_DCV5_CANDIDATE_SAUSAGE,3995,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
2096,"SLĂNINĂ AFUMATĂ (Dimljena slanina)",https://drycured.com/recepti-baza/slanina-afumata-dimljena-slanina/,MD-SL_NIN_AFUMAT_DIMLJENA_SLANINA,Rumunjska,"Sušeni dimljeni cijeli komad","dimljenje + sušenje",BACON_FAT,AUTO_DCV5_CANDIDATE_WHOLE_CUT,3643,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
