path,name,extension,category,size_bytes,modified_utc,sha256
04_OPERATION/recipe_master/staged_contracts_v2/batch_candidates/2976_hr-sl-005-slavonska-domaca-kobasica_contract_v2.json,2976_hr-sl-005-slavonska-domaca-kobasica_contract_v2.json,.json,RECIPE_SOURCE_CANDIDATE_DATA,24409,2026-06-15T18:15:18.929348+00:00,b250a873d1b99a4b34b47aa6ab4a8e87e581fae30e48a7c7db1c2fdb08d2fcca
04_OPERATION/recipe_master/staged_contracts_v2/batch_candidates/2977_hr-sl-006-srijemska-kobasica-ogp_contract_v2.json,2977_hr-sl-006-srijemska-kobasica-ogp_contract_v2.json,.json,RECIPE_SOURCE_CANDIDATE_DATA,25863,2026-06-15T18:15:18.931348+00:00,485663f4df2141d9227dbaaa8ad0c736bfd7970ed1676dc8e54cc081a5f9750f
04_OPERATION/recipe_master/staged_contracts_v2/batch_candidates/2979_hr-sl-008-baranjska-kobasica_contract_v2.json,2979_hr-sl-008-baranjska-kobasica_contract_v2.json,.json,RECIPE_SOURCE_CANDIDATE_DATA,24167,2026-06-15T18:15:18.933348+00:00,8e2a91d972b560e9235aaa3ef37616392859f8ba4375d7a8628a6c1f098e58fb
04_OPERATION/recipe_master/staged_contracts_v2/batch_candidates/2981_hr-sl-010-slavonska-kobasica-zoi-eu-2023_contract_v2.json,2981_hr-sl-010-slavonska-kobasica-zoi-eu-2023_contract_v2.json,.json,RECIPE_SOURCE_CANDIDATE_DATA,25605,2026-06-15T18:15:18.935348+00:00,3c45130b7457332fa377e48dae28b4c8552a597a99065f6d486441cae565a1ee
04_OPERATION/recipe_master/staged_contracts_v2/batch_candidates/2996_hr-sl-030-brodska-kobasica-slavonski-brod_contract_v2.json,2996_hr-sl-030-brodska-kobasica-slavonski-brod_contract_v2.json,.json,RECIPE_SOURCE_CANDIDATE_DATA,24714,2026-06-15T18:15:18.937348+00:00,fe5185bee0611157a86e392ca26be67abd1313a1e0760606608a55526a2f7a77
04_OPERATION/recipe_master/staged_contracts_v2/batch_candidates/2997_hr-sl-031-osjecka-kobasica_contract_v2.json,2997_hr-sl-031-osjecka-kobasica_contract_v2.json,.json,RECIPE_SOURCE_CANDIDATE_DATA,24474,2026-06-15T18:15:18.940348+00:00,cea099f0aac2998c91443effce05695173a29be0ee052919368a0bb1bbf34b74
04_OPERATION/recipe_master/staged_contracts_v2/batch_candidates/3000_hr-sl-034-slavonska-domaca-salama_contract_v2.json,3000_hr-sl-034-slavonska-domaca-salama_contract_v2.json,.json,RECIPE_SOURCE_CANDIDATE_DATA,24469,2026-06-15T18:15:18.942348+00:00,bea69473b2ee02d7d5f60c655c9934e9b61baeb16493713794158084faca90ee
04_OPERATION/recipe_master/staged_contracts_v2/batch_candidates/3001_hr-sl-036-slavonska-cvarkovaca-kobasica-od-cvaraka_contract_v2.json,3001_hr-sl-036-slavonska-cvarkovaca-kobasica-od-cvaraka_contract_v2.json,.json,RECIPE_SOURCE_CANDIDATE_DATA,25094,2026-06-15T18:15:18.945349+00:00,162b070f4653d334361d699ed44e1b1b5e7ab0df9b18193d616d542fcb2028db
04_OPERATION/recipe_master/staged_contracts_v2/batch_candidates/3002_hr-sl-037-vinkovacka-kobasica_contract_v2.json,3002_hr-sl-037-vinkovacka-kobasica_contract_v2.json,.json,RECIPE_SOURCE_CANDIDATE_DATA,24363,2026-06-15T18:15:18.947348+00:00,093bfa25923345022bd719a1647243946b3265cc1015eb5e8d2d6e89e5e71bed
04_OPERATION/recipe_master/staged_contracts_v2/batch_candidates/3003_hr-sl-038-slavonska-lovacka-kobasica-divljac-svinjetina_contract_v2.json,3003_hr-sl-038-slavonska-lovacka-kobasica-divljac-svinjetina_contract_v2.json,.json,RECIPE_SOURCE_CANDIDATE_DATA,28102,2026-06-15T18:15:18.950348+00:00,c726da06ac5c61e4ef182d0d94e3e0a417024e59f202064f78cd65384b6ea2d5
