source	slug	source_bytes	web_bytes	thumb_bytes	source_dimensions	web_dimensions	thumb_dimensions	web	thumb
"ChatGPT Image 19. svi 2026. 20_53_37.png"	chatgpt-image-19-svi-2026-20-53-37	2196966	256746	39630	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-20-53-37.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-20-53-37.webp
"ChatGPT Image 19. svi 2026. 20_25_32.png"	chatgpt-image-19-svi-2026-20-25-32	2049922	229550	36774	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-20-25-32.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-20-25-32.webp
"ChatGPT Image 19. svi 2026. 20_42_04.png"	chatgpt-image-19-svi-2026-20-42-04	2119822	237096	37092	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-20-42-04.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-20-42-04.webp
"ChatGPT Image 19. svi 2026. 16_34_48.png"	chatgpt-image-19-svi-2026-16-34-48	2096806	191626	29864	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-16-34-48.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-16-34-48.webp
"ChatGPT Image 19. svi 2026. 18_17_51.png"	chatgpt-image-19-svi-2026-18-17-51	2061615	242594	38966	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-18-17-51.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-18-17-51.webp
"ChatGPT Image 18. svi 2026. 21_37_52.png"	chatgpt-image-18-svi-2026-21-37-52	2153415	255188	40438	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-18-svi-2026-21-37-52.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-18-svi-2026-21-37-52.webp
"ChatGPT Image 19. svi 2026. 19_53_57.png"	chatgpt-image-19-svi-2026-19-53-57	2246706	278078	41762	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-19-53-57.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-19-53-57.webp
"ChatGPT Image 19. svi 2026. 20_50_45.png"	chatgpt-image-19-svi-2026-20-50-45	2189383	253808	39616	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-20-50-45.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-20-50-45.webp
"ChatGPT Image 19. svi 2026. 16_35_46.png"	chatgpt-image-19-svi-2026-16-35-46	2060725	237024	38618	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-16-35-46.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-16-35-46.webp
"ChatGPT Image 18. svi 2026. 18_52_31.png"	chatgpt-image-18-svi-2026-18-52-31	2256018	270054	43086	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-18-svi-2026-18-52-31.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-18-svi-2026-18-52-31.webp
"ChatGPT Image 18. svi 2026. 21_45_56.png"	chatgpt-image-18-svi-2026-21-45-56	2166157	261068	41588	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-18-svi-2026-21-45-56.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-18-svi-2026-21-45-56.webp
"ChatGPT Image 19. svi 2026. 17_09_35.png"	chatgpt-image-19-svi-2026-17-09-35	2127501	244064	37888	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-17-09-35.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-17-09-35.webp
"ChatGPT Image 19. svi 2026. 18_13_37.png"	chatgpt-image-19-svi-2026-18-13-37	2080802	231882	36360	1536x1024	1536x1024	520x347	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/web/chatgpt-image-19-svi-2026-18-13-37.webp	https://drycured.com/wp-content/uploads/drycured/infografike-greske-web/thumb/chatgpt-image-19-svi-2026-18-13-37.webp
