post_type	ID	post_title	post_name	title_status	description_status
dry_recipe	2445	Hvarski stolen (zaboravljena delicija)	hvarski-stolen-zaboravljena-delicija	MISSING_TITLE	MISSING_DESC
dry_recipe	2447	Leverpostej (Danska pašteta od svinjske jetre)	leverpostej-danska-pasteta-od-svinjske-jetre	MISSING_TITLE	MISSING_DESC
dry_recipe	2448	Medisterpølse (Danska svježa začinjena kobasica)	medisterpolse-danska-svjeza-zacinjena-kobasica	MISSING_TITLE	MISSING_DESC
dry_recipe	2449	Ribbenssteg (Danska dimljena svinjska rebra)	ribbenssteg-danska-dimljena-svinjska-rebra	MISSING_TITLE	MISSING_DESC
dry_recipe	2450	Bayonneskinke (Danska zasoljena i dimljena šunka)	bayonneskinke-danska-zasoljena-i-dimljena-sunka	MISSING_TITLE	MISSING_DESC
dry_recipe	2451	Blodpølse (Danska krvavica)	blodpolse-danska-krvavica	MISSING_TITLE	MISSING_DESC
dry_recipe	2452	Rullepølse (Danska rolana šunka)	rullepolse-danska-rolana-sunka	MISSING_TITLE	MISSING_DESC
dry_recipe	2453	Flæskesteg (Danska pečena svinjetina s hrskavom kožom)	flaeskesteg-danska-pecena-svinjetina-s-hrskavom-kozom	MISSING_TITLE	MISSING_DESC
dry_recipe	2454	Spegepølse (Danska fermentirana kobasica)	spegepolse-danska-fermentirana-kobasica	MISSING_TITLE	MISSING_DESC
dry_recipe	2455	Sylte (Danska hladetina od svinjske glave)	sylte-danska-hladetina-od-svinjske-glave	MISSING_TITLE	MISSING_DESC
dry_recipe	2456	Spegeskinke (Danska sušena šunka)	spegeskinke-danska-susena-sunka	MISSING_TITLE	MISSING_DESC
dry_recipe	2457	Irski spiced beef (Začinjeno sušeno goveđe meso)	irski-spiced-beef-zacinjeno-suseno-govede-meso	MISSING_TITLE	MISSING_DESC
dry_recipe	2458	Crubeens (Salamurena i dimljena svinjska stopala)	crubeens-salamurena-i-dimljena-svinjska-stopala	MISSING_TITLE	MISSING_DESC
dry_recipe	2459	Boiled Ham (Tradicionalna irska kuhana šunka)	boiled-ham-tradicionalna-irska-kuhana-sunka	MISSING_TITLE	MISSING_DESC
dry_recipe	2464	StarohrvatskiMore-Kopno Salamet (Salama Maritima)	starohrvatskimore-kopno-salamet-salama-maritima	MISSING_TITLE	MISSING_DESC
dry_recipe	2465	Krčki Ovčji Dimljeni Raritet	krcki-ovcji-dimljeni-raritet	MISSING_TITLE	MISSING_DESC
