ID,post_title,post_name,url,http_code,html_forbidden_count,html_forbidden_terms,has_granulation_mm_html,has_casing_html,has_garlic_html
2086,Prekomurska Slaninska Rolada &#8220;Trnčova&#8221;,prekomurska-slaninska-rolada-trncova,https://drycured.com/recepti-baza/prekomurska-slaninska-rolada-trncova/,200,63,hladna masa; fallback; radni recept,1,1,1
2088,Koprivnička Kulen,koprivnicka-kulen,https://drycured.com/recepti-baza/koprivnicka-kulen/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2089,KABANOSY (TANKE SUHE KOBASICE),kabanosy-tanke-suhe-kobasice,https://drycured.com/recepti-baza/kabanosy-tanke-suhe-kobasice/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2092,Crikvenička Panceta,crikvenicka-panceta,https://drycured.com/recepti-baza/crikvenicka-panceta/,200,63,hladna masa; fallback; radni recept,1,1,1
2093,Stara Koprivnička Salama &#8220;Šokačka Priča&#8221;,stara-koprivnicka-salama-sokacka-prica,https://drycured.com/recepti-baza/stara-koprivnicka-salama-sokacka-prica/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2094,Pitomački &#8220;Divlji Kulen&#8221;,pitomacki-divlji-kulen,https://drycured.com/recepti-baza/pitomacki-divlji-kulen/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2096,SLĂNINĂ AFUMATĂ (Dimljena slanina),slanina-afumata-dimljena-slanina,https://drycured.com/recepti-baza/slanina-afumata-dimljena-slanina/,200,63,hladna masa; fallback; radni recept,1,1,1
2097,CHIȘCĂ (Puhana želuca s krvlju),chisca-puhana-zeluca-s-krvlju,https://drycured.com/recepti-baza/chisca-puhana-zeluca-s-krvlju/,200,63,hladna masa; fallback; radni recept,1,1,1
2100,Miholjačka Začinska Salama,miholjacka-zacinska-salama,https://drycured.com/recepti-baza/miholjacka-zacinska-salama/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2101,Vinkovački Slavonski Kulen &#8211; Stara obiteljska receptura,vinkovacki-slavonski-kulen-stara-obiteljska-receptura,https://drycured.com/recepti-baza/vinkovacki-slavonski-kulen-stara-obiteljska-receptura/,200,65,prema receptu; hladna masa; fallback; radni recept,1,1,1
2102,Slovačka slanina (Slovenská slanina),slovacka-slanina-slovenska-slanina,https://drycured.com/recepti-baza/slovacka-slanina-slovenska-slanina/,200,63,hladna masa; fallback; radni recept,1,1,1
2103,Kranjska klobasa (Kranjska kobasica),kranjska-klobasa-kranjska-kobasica,https://drycured.com/recepti-baza/kranjska-klobasa-kranjska-kobasica/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2104,Kraški pršut,kraski-prsut,https://drycured.com/recepti-baza/kraski-prsut/,200,63,hladna masa; fallback; radni recept,1,1,1
2106,Gorenjska zaseka,gorenjska-zaseka,https://drycured.com/recepti-baza/gorenjska-zaseka/,200,63,hladna masa; fallback; radni recept,1,1,1
2107,Vipavska panceta,vipavska-panceta,https://drycured.com/recepti-baza/vipavska-panceta/,200,63,hladna masa; fallback; radni recept,1,1,1
2108,Tolminska salama,tolminska-salama,https://drycured.com/recepti-baza/tolminska-salama/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2110,Crnogorska Slanina (Durmitorska panćeta),crnogorska-slanina-durmitorska-panceta,https://drycured.com/recepti-baza/crnogorska-slanina-durmitorska-panceta/,200,63,hladna masa; fallback; radni recept,1,1,1
2111,LANDJÄGER (TRADICIONALNE DIMLJENE KOBASICE),landjager-tradicionalne-dimljene-kobasice,https://drycured.com/recepti-baza/landjager-tradicionalne-dimljene-kobasice/,200,65,prema receptu; hladna masa; fallback; radni recept,1,1,1
2113,VACHERIN FRIBOURGEOIS METTWURST (DIMLJENA KOBASICA S ALPSKIM SIROM),vacherin-fribourgeois-mettwurst-dimljena-kobasica-s-alpskim-sirom,https://drycured.com/recepti-baza/vacherin-fribourgeois-mettwurst-dimljena-kobasica-s-alpskim-sirom/,200,65,prema receptu; hladna masa; fallback; radni recept,1,1,1
2115,BRESAOLA DELLA VALTELLINA,bresaola-della-valtellina,https://drycured.com/recepti-baza/bresaola-della-valtellina/,200,63,hladna masa; fallback; radni recept,1,1,1
2116,COPPA PIACENTINA,coppa-piacentina,https://drycured.com/recepti-baza/coppa-piacentina/,200,63,hladna masa; fallback; radni recept,1,1,1
2353,Pastërma (Albansko suho meso),pasterma-albansko-suho-meso,https://drycured.com/recepti-baza/pasterma-albansko-suho-meso/,200,63,hladna masa; fallback; radni recept,1,1,1
2355,Proshuta Shqiptare – albanska pršuta,proshuta-shqiptare-albanska-prsuta,https://drycured.com/recepti-baza/proshuta-shqiptare-albanska-prsuta/,200,63,hladna masa; fallback; radni recept,1,1,1
2359,Vorarlberger Mostbröckle – vorarlberška dimljena govedina,vorarlberger-mostbrockle-vorarlberska-dimljena-govedina,https://drycured.com/recepti-baza/vorarlberger-mostbrockle-vorarlberska-dimljena-govedina/,200,63,hladna masa; fallback; radni recept,1,1,1
2398,Traditionele Droge Worst (Klasična suha kobasica),traditionele-droge-worst-klasicna-suha-kobasica,https://drycured.com/recepti-baza/traditionele-droge-worst-klasicna-suha-kobasica/,200,68,prema receptu; hladna masa; fallback; radni recept,1,1,1
2399,Rookworst (Dimljena kobasica),rookworst-dimljena-kobasica,https://drycured.com/recepti-baza/rookworst-dimljena-kobasica/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2428,Durmitorska kastradina,durmitorska-kastradina,https://drycured.com/recepti-baza/durmitorska-kastradina/,200,63,hladna masa; fallback; radni recept,1,1,1
2430,Vasojevićka preukuša,vasojevicka-preukusa,https://drycured.com/recepti-baza/vasojevicka-preukusa/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2432,Kučka pršura,kucka-prsura,https://drycured.com/recepti-baza/kucka-prsura/,200,63,hladna masa; fallback; radni recept,1,1,1
2434,Crnogorska kobasica,crnogorska-kobasica,https://drycured.com/recepti-baza/crnogorska-kobasica/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2435,Crnogorska stelja,crnogorska-stelja,https://drycured.com/recepti-baza/crnogorska-stelja/,200,63,hladna masa; fallback; radni recept,1,1,1
2440,Splitski Maestral Narezak,splitski-maestral-narezak,https://drycured.com/recepti-baza/splitski-maestral-narezak/,200,63,hladna masa; fallback; radni recept,1,1,1
2441,Trogirski Zephyr,trogirski-zephyr,https://drycured.com/recepti-baza/trogirski-zephyr/,200,63,hladna masa; fallback; radni recept,1,1,1
2442,Makarski Jugo Narezak,makarski-jugo-narezak,https://drycured.com/recepti-baza/makarski-jugo-narezak/,200,63,hladna masa; fallback; radni recept,1,1,1
2445,Hvarski stolen (zaboravljena delicija),hvarski-stolen-zaboravljena-delicija,https://drycured.com/recepti-baza/hvarski-stolen-zaboravljena-delicija/,200,63,hladna masa; fallback; radni recept,1,1,1
2449,Ribbenssteg (Danska dimljena svinjska rebra),ribbenssteg-danska-dimljena-svinjska-rebra,https://drycured.com/recepti-baza/ribbenssteg-danska-dimljena-svinjska-rebra/,200,63,hladna masa; fallback; radni recept,1,1,1
2450,Bayonneskinke (Danska zasoljena i dimljena šunka),bayonneskinke-danska-zasoljena-i-dimljena-sunka,https://drycured.com/recepti-baza/bayonneskinke-danska-zasoljena-i-dimljena-sunka/,200,63,hladna masa; fallback; radni recept,1,1,1
2456,Spegeskinke (Danska sušena šunka),spegeskinke-danska-susena-sunka,https://drycured.com/recepti-baza/spegeskinke-danska-susena-sunka/,200,63,hladna masa; fallback; radni recept,1,1,1
2458,Crubeens (Salamurena i dimljena svinjska stopala),crubeens-salamurena-i-dimljena-svinjska-stopala,https://drycured.com/recepti-baza/crubeens-salamurena-i-dimljena-svinjska-stopala/,200,69,prema receptu; hladna masa; fallback; radni recept,1,1,1
2464,StarohrvatskiMore-Kopno Salamet (Salama Maritima),starohrvatskimore-kopno-salamet-salama-maritima,https://drycured.com/recepti-baza/starohrvatskimore-kopno-salamet-salama-maritima/,200,68,prema receptu; hladna masa; fallback; radni recept,1,1,1
2465,Krčki Ovčji Dimljeni Raritet,krcki-ovcji-dimljeni-raritet,https://drycured.com/recepti-baza/krcki-ovcji-dimljeni-raritet/,200,63,hladna masa; fallback; radni recept,1,1,1
2466,Kvarnerski Divovski Salamet,kvarnerski-divovski-salamet,https://drycured.com/recepti-baza/kvarnerski-divovski-salamet/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2468,Lincolnshire kobasica,lincolnshire-kobasica,https://drycured.com/recepti-baza/lincolnshire-kobasica/,200,69,prema receptu; hladna masa; fallback; radni recept,1,1,1
2470,Bath Chaps (ukiseljene svinjske obrazine),bath-chaps-ukiseljene-svinjske-obrazine,https://drycured.com/recepti-baza/bath-chaps-ukiseljene-svinjske-obrazine/,200,63,hladna masa; fallback; radni recept,1,1,1
2474,Tradicionalna engleska šunka (Wiltshire Ham),tradicionalna-engleska-sunka-wiltshire-ham,https://drycured.com/recepti-baza/tradicionalna-engleska-sunka-wiltshire-ham/,200,64,prema receptu; hladna masa; fallback; radni recept,1,1,1
2476,Engleski pork pie (svinjetina u tijestu),engleski-pork-pie-svinjetina-u-tijestu,https://drycured.com/recepti-baza/engleski-pork-pie-svinjetina-u-tijestu/,200,63,hladna masa; fallback; radni recept,1,1,1
2478,Suitsink (Dimljena svinjska šunka),suitsink-dimljena-svinjska-sunka,https://drycured.com/recepti-baza/suitsink-dimljena-svinjska-sunka/,200,63,hladna masa; fallback; radni recept,1,1,1
2480,Talleliha (Polutrajno sušena govedina),talleliha-polutrajno-susena-govedina,https://drycured.com/recepti-baza/talleliha-polutrajno-susena-govedina/,200,63,hladna masa; fallback; radni recept,1,1,1
2481,Sealiha õlis (Svinjsko meso u ulju),sealiha-olis-svinjsko-meso-u-ulju,https://drycured.com/recepti-baza/sealiha-olis-svinjsko-meso-u-ulju/,200,63,hladna masa; fallback; radni recept,1,1,1
