ID,post_title,post_name,post_status,permalink,meta_key_count,has_full_markdown,has_sections,has_verified_process,has_recipe_data,has_any_json_data,has_casing_terms,has_granulation_terms,has_garlic_terms,has_process_terms,forbidden_meta_count,forbidden_meta_terms,contract_readiness,contract_gap,public_risk
2005,UJEDINJENO KRALJEVSTVO &#8211; Tradicionalni recepti,ujedinjeno-kraljevstvo-tradicionalni-recepti,draft,https://drycured.com/?post_type=dry_recipe&p=2005,4,0,0,0,1,0,0,0,0,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
2006,Cumberland Sausage,cumberland-sausage,draft,https://drycured.com/?post_type=dry_recipe&p=2006,4,0,0,0,1,0,0,0,0,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
2007,Kompleksna zbirka tradicionalnih suhomesnatih recepata iz Europe,kompleksna-zbirka-tradicionalnih-suhomesnatih-recepata-iz-europe,draft,https://drycured.com/?post_type=dry_recipe&p=2007,4,0,0,0,1,0,0,0,0,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
2008,GRČKA &#8211; Tradicionalni recepti za Loukaniko,grcka-tradicionalni-recepti-za-loukaniko,draft,https://drycured.com/?post_type=dry_recipe&p=2008,4,0,0,0,1,0,0,0,0,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
2009,Tradicionalni Loukaniko sa Krete,tradicionalni-loukaniko-sa-krete,draft,https://drycured.com/?post_type=dry_recipe&p=2009,4,0,0,0,1,0,0,0,0,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
2010,Makedončki Loukaniko sa Planinom,makedoncki-loukaniko-sa-planinom,draft,https://drycured.com/?post_type=dry_recipe&p=2010,4,0,0,0,1,0,0,0,0,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
2011,Kompleksna zbirka tradicionalnih suhomesnatih recepata iz Europe,kompleksna-zbirka-tradicionalnih-suhomesnatih-recepata-iz-europe-2,draft,https://drycured.com/?post_type=dry_recipe&p=2011,4,0,0,0,1,0,0,0,1,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
2012,FRANCUSKA &#8211; Tradicionalni recepti za saucisson,francuska-tradicionalni-recepti-za-saucisson,draft,https://drycured.com/?post_type=dry_recipe&p=2012,4,0,0,0,1,0,0,0,1,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
2013,Saucisson sec iz Lyona,saucisson-sec-iz-lyona,draft,https://drycured.com/?post_type=dry_recipe&p=2013,4,0,0,0,1,0,0,0,1,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
2014,Kompleksna zbirka tradicionalnih suhomesnatih recepata iz Europe,kompleksna-zbirka-tradicionalnih-suhomesnatih-recepata-iz-europe-3,draft,https://drycured.com/?post_type=dry_recipe&p=2014,4,0,0,0,1,0,0,0,1,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
2015,ČEŠKA &#8211; Tradicionalni recepti,ceska-tradicionalni-recepti,draft,https://drycured.com/?post_type=dry_recipe&p=2015,4,0,0,0,1,0,0,0,1,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
2016,Lovecká Saláma (Lovačka salama),lovecka-salama-lovacka-salama,draft,https://drycured.com/?post_type=dry_recipe&p=2016,15,0,0,0,1,0,0,0,1,1,0,,LEGACY_NEEDS_SOURCE_OR_STRUCTURING,MEDIUM,NOT_PUBLIC_OR_PREVIEW
2017,Privatno: Drisheen (Tradicionalna irska krvavica od ovčje krvi),drisheen-tradicionalna-irska-krvavica-od-ovcje-krvi,private,https://drycured.com/?post_type=dry_recipe&p=2017,11,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2018,Irska salama (Spiced Irish Salami),irska-salama-spiced-irish-salami,publish,https://drycured.com/recepti-baza/irska-salama-spiced-irish-salami/,13,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
2019,Privatno: Landjäger kobasice s bavarskom salatom od krumpira,landjager-kobasice-s-bavarskom-salatom-od-krumpira,private,https://drycured.com/?post_type=dry_recipe&p=2019,11,1,0,0,1,0,1,1,1,1,3,prema receptu,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2020,Privatno: Mettwurst s toplom salatom od krumpira i zelenog graha,mettwurst-s-toplom-salatom-od-krumpira-i-zelenog-graha,private,https://drycured.com/?post_type=dry_recipe&p=2020,11,1,0,0,1,0,1,1,1,1,3,prema receptu,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,NOT_PUBLIC_OR_PREVIEW
2021,Cumberland kobasica,cumberland-kobasica,publish,https://drycured.com/recepti-baza/cumberland-kobasica/,13,1,0,0,1,0,1,1,1,1,0,,CONTRACT_BUILD_CANDIDATE_MARKDOWN_ONLY,LOW_TO_MEDIUM,PUBLIC_NO_META_FALLBACK_FOUND
