post_id,title,url,post_status,detected_type,v1_1_final_type,v1_1_public_update_gate,v1_1_work_priority,v1_1_type_reason,v1_1_block_reasons,has_granulation,has_fat_handling,has_casing,has_brine_or_cure,has_thermal_process,has_thermal_params,has_cold_chain,has_smoking,has_drying,has_aging,has_nitrite,has_nitrite_note,has_fallback_internal
2079,COPPA CORSE,https://drycured.com/recepti-baza/coppa-corse/,publish,GROUND_MEAT_OR_CASING,WHOLE_CUT,FAIL,A_PUBLIC_BLOCKED,WHOLE_CUT_TITLE:coppa,NITRITE_WITHOUT_SAFETY_NOTE;PUBLIC_OR_META_INTERNAL_TEXT_HIT,1,1,1,1,0,1,1,1,1,1,1,0,1
2080,SAUCISSE DE MORTEAU,https://drycured.com/recepti-baza/saucisse-de-morteau/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,FAIL,A_PUBLIC_BLOCKED,,NITRITE_WITHOUT_SAFETY_NOTE;PUBLIC_OR_META_INTERNAL_TEXT_HIT,1,1,1,1,1,1,1,1,1,1,1,0,1
2086,Prekomurska Slaninska Rolada &#8220;Trnčova&#8221;,https://drycured.com/recepti-baza/prekomurska-slaninska-rolada-trncova/,publish,WHOLE_CUT,WHOLE_CUT,FAIL,A_PUBLIC_BLOCKED,,PUBLIC_OR_META_INTERNAL_TEXT_HIT,0,1,1,1,0,1,1,1,1,1,0,0,1
2088,Koprivnička Kulen,https://drycured.com/recepti-baza/koprivnicka-kulen/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,FAIL,A_PUBLIC_BLOCKED,,PUBLIC_OR_META_INTERNAL_TEXT_HIT,1,1,1,1,1,1,1,1,1,1,0,0,1
2089,KABANOSY (TANKE SUHE KOBASICE),https://drycured.com/recepti-baza/kabanosy-tanke-suhe-kobasice/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,FAIL,A_PUBLIC_BLOCKED,,NITRITE_WITHOUT_SAFETY_NOTE;PUBLIC_OR_META_INTERNAL_TEXT_HIT,1,1,1,1,1,1,1,1,1,1,1,0,1
2092,Crikvenička Panceta,https://drycured.com/recepti-baza/crikvenicka-panceta/,publish,WHOLE_CUT,WHOLE_CUT,FAIL,A_PUBLIC_BLOCKED,WHOLE_CUT_TITLE:panceta,PUBLIC_OR_META_INTERNAL_TEXT_HIT,0,1,1,1,0,1,1,1,1,1,0,0,1
2093,Stara Koprivnička Salama &#8220;Šokačka Priča&#8221;,https://drycured.com/recepti-baza/stara-koprivnicka-salama-sokacka-prica/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,FAIL,A_PUBLIC_BLOCKED,,PUBLIC_OR_META_INTERNAL_TEXT_HIT,1,1,1,1,1,1,1,1,1,1,0,0,1
2094,Pitomački &#8220;Divlji Kulen&#8221;,https://drycured.com/recepti-baza/pitomacki-divlji-kulen/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,FAIL,A_PUBLIC_BLOCKED,,PUBLIC_OR_META_INTERNAL_TEXT_HIT,1,1,1,1,1,1,1,1,1,1,0,0,1
2096,SLĂNINĂ AFUMATĂ (Dimljena slanina),https://drycured.com/recepti-baza/slanina-afumata-dimljena-slanina/,publish,WHOLE_CUT,WHOLE_CUT,FAIL,A_PUBLIC_BLOCKED,WHOLE_CUT_TITLE:slanina,PUBLIC_OR_META_INTERNAL_TEXT_HIT,0,1,1,1,0,1,1,1,1,1,0,0,1
2097,CHIȘCĂ (Puhana želuca s krvlju),https://drycured.com/recepti-baza/chisca-puhana-zeluca-s-krvlju/,publish,GROUND_MEAT_OR_CASING,GROUND_MEAT_OR_CASING,FAIL,A_PUBLIC_BLOCKED,,PUBLIC_OR_META_INTERNAL_TEXT_HIT,1,1,1,1,0,1,1,1,1,1,0,0,1
